Customer_ID,Customer_Name,Email,Phone_Number,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season,Season_Number
1,Michelle Harris,zbarrett@jordan-thomas.com,928.154.7462x5542,Sneakers,5,3148,15740,2024-04-23,Spring,2
2,Leah Lee,rroberson@morales.org,650.640.3689,Loafers,3,2049,6147,2024-11-04,Autumn,3
3,Sheri Espinoza,maria11@yahoo.com,(014)560-7082,Sandals,2,2649,5298,2024-06-17,Summer,0
4,Crystal Smith,fosterbrandon@perry.net,+1-367-363-9006x83864,Blazer,1,4223,4223,2023-11-03,Autumn,3
5,Alexander Gomez,owade@gmail.com,2530902586,Light Jacket,2,2040,4080,2024-05-02,Spring,2
6,James Baker,jamesfranklin@gmail.com,591-009-8281x3454,Tank Top,3,4607,13821,2023-06-03,Summer,0
7,Joshua Davidson,crystal00@brooks.net,(985)261-2616,Jacket,2,1058,2116,2023-12-04,Winter,1
8,Erica Harper,foleyaaron@powell.info,001-108-954-9077x3583,Boots,4,4761,19044,2023-01-24,Winter,1
9,Kimberly Lucas,mason15@evans-stark.net,327-000-6840x65693,Loafers,4,4627,18508,2023-09-09,Autumn,3
10,Ryan Rodriguez,vcollins@gmail.com,136-480-5436x7423,Raincoat,1,2639,2639,2024-07-20,Monsoon,4
11,Susan Walker,robertwoods@miller.info,9134368909,Raincoat,3,4460,13380,2023-08-09,Monsoon,4
12,Sara Brown,mosskevin@trevino-harris.net,001-936-216-0499x157,Light Jacket,4,3266,13064,2023-04-02,Spring,2
13,Shannon Cook,carol58@ponce.com,956.943.9687x5706,Full-Sleeve Shirt,3,4753,14259,2024-11-01,Autumn,3
14,Michael Cohen,villanuevajennifer@hardy-bowen.com,+1-546-308-8207x40556,Jacket,1,632,632,2024-02-07,Winter,1
15,Thomas Acevedo,lawrencewall@hotmail.com,(595)687-6338,Shorts,3,1811,5433,2024-06-15,Summer,0
16,Joseph Taylor,qsandoval@ward.net,834-507-0755x601,Raincoat,1,3736,3736,2023-08-17,Monsoon,4
17,Mark Garrett,megan11@yahoo.com,870-038-9097,Jeans,4,4107,16428,2024-04-07,Spring,2
18,John Rivera,logan66@king.com,485.661.0673,Boots,1,1740,1740,2024-02-20,Winter,1
19,Micheal Clark,brittanysmith@sims-wilson.net,(872)920-3916,Full-Sleeve Shirt,2,1262,2524,2024-10-07,Autumn,3
20,Deanna Fisher,fbutler@hotmail.com,109.633.4509,Sunglasses,5,2730,13650,2024-07-28,Summer,0
21,Alec Higgins,lgray@owens-newman.com,001-381-073-4353x496,T-Shirt,4,4328,17312,2025-05-08,Spring,2
22,Susan Rowland,anthonysmith@adams.com,001-282-091-0397x819,Light Jacket,4,4482,17928,2023-05-22,Spring,2
