Customer_ID,Customer_Name,Email,Phone_Number,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season,Season_Number,Recency,Avg_Order_Value,Cluster_Label,Segment,Suggested_Campaign
1,Michelle Harris,zbarrett@jordan-thomas.com,928.154.7462x5542,Sneakers,5,3148,15740,2024-04-23,Spring,2,341,3148.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
2,Leah Lee,rroberson@morales.org,650.640.3689,Loafers,3,2049,6147,2024-11-04,Autumn,3,146,2049.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
3,Sheri Espinoza,maria11@yahoo.com,(014)560-7082,Sandals,2,2649,5298,2024-06-17,Summer,0,286,2649.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
4,Crystal Smith,fosterbrandon@perry.net,+1-367-363-9006x83864,Blazer,1,4223,4223,2023-11-03,Autumn,3,513,4223.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
5,Alexander Gomez,owade@gmail.com,2530902586,Light Jacket,2,2040,4080,2024-05-02,Spring,2,332,2040.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
6,James Baker,jamesfranklin@gmail.com,591-009-8281x3454,Tank Top,3,4607,13821,2023-06-03,Summer,0,666,4607.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
7,Joshua Davidson,crystal00@brooks.net,(985)261-2616,Jacket,2,1058,2116,2023-12-04,Winter,1,482,1058.0,2,Lost Customers,Re-engagement Emails & Offers
8,Erica Harper,foleyaaron@powell.info,001-108-954-9077x3583,Boots,4,4761,19044,2023-01-24,Winter,1,796,4761.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
9,Kimberly Lucas,mason15@evans-stark.net,327-000-6840x65693,Loafers,4,4627,18508,2023-09-09,Autumn,3,568,4627.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
10,Ryan Rodriguez,vcollins@gmail.com,136-480-5436x7423,Raincoat,1,2639,2639,2024-07-20,Monsoon,4,253,2639.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
11,Susan Walker,robertwoods@miller.info,9134368909,Raincoat,3,4460,13380,2023-08-09,Monsoon,4,599,4460.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
12,Sara Brown,mosskevin@trevino-harris.net,001-936-216-0499x157,Light Jacket,4,3266,13064,2023-04-02,Spring,2,728,3266.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
13,Shannon Cook,carol58@ponce.com,956.943.9687x5706,Full-Sleeve Shirt,3,4753,14259,2024-11-01,Autumn,3,149,4753.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
14,Michael Cohen,villanuevajennifer@hardy-bowen.com,+1-546-308-8207x40556,Jacket,1,632,632,2024-02-07,Winter,1,417,632.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
15,Thomas Acevedo,lawrencewall@hotmail.com,(595)687-6338,Shorts,3,1811,5433,2024-06-15,Summer,0,288,1811.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
16,Joseph Taylor,qsandoval@ward.net,834-507-0755x601,Raincoat,1,3736,3736,2023-08-17,Monsoon,4,591,3736.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
17,Mark Garrett,megan11@yahoo.com,870-038-9097,Jeans,4,4107,16428,2024-04-07,Spring,2,357,4107.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
18,John Rivera,logan66@king.com,485.661.0673,Boots,1,1740,1740,2024-02-20,Winter,1,404,1740.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
19,Micheal Clark,brittanysmith@sims-wilson.net,(872)920-3916,Full-Sleeve Shirt,2,1262,2524,2024-10-07,Autumn,3,174,1262.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
20,Deanna Fisher,fbutler@hotmail.com,109.633.4509,Sunglasses,5,2730,13650,2024-07-28,Summer,0,245,2730.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
21,Alec Higgins,lgray@owens-newman.com,001-381-073-4353x496,T-Shirt,4,4328,17312,2025-05-08,Spring,2,-39,4328.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
22,Susan Rowland,anthonysmith@adams.com,001-282-091-0397x819,Light Jacket,4,4482,17928,2023-05-22,Spring,2,678,4482.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
23,Brian Santiago,jgarcia@yahoo.com,148-151-9267,Cardigan,2,2010,4020,2024-11-14,Autumn,3,136,2010.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
24,Amanda Baker,ronniefisher@yahoo.com,001-465-899-6539x38663,Shorts,1,3828,3828,2024-08-28,Summer,0,214,3828.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
25,Mark Davis,villegasjoseph@martin-walker.org,001-794-998-1087x71124,Full-Sleeve Shirt,3,4202,12606,2025-09-03,Autumn,3,-157,4202.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
26,William Sanders,wcox@yahoo.com,+1-809-493-2887x8667,Boots,3,703,2109,2024-01-17,Winter,1,438,703.0,2,Lost Customers,Re-engagement Emails & Offers
27,Melanie Nelson,patrickwest@spencer-johnson.info,+1-761-155-9220,Sandals,4,1223,4892,2023-08-13,Summer,0,595,1223.0,2,Lost Customers,Re-engagement Emails & Offers
28,Adriana Lucas,gene83@schultz.com,044-537-8114x42416,Waterproof Shoes,4,2765,11060,2023-08-03,Monsoon,4,605,2765.0,2,Lost Customers,Re-engagement Emails & Offers
29,Emily Russell,masonowen@yahoo.com,001-435-207-4079x4975,Sandals,2,1545,3090,2024-07-16,Summer,0,257,1545.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
30,Karen Hansen,dcarrillo@hotmail.com,+1-797-436-3060,Umbrella,1,3165,3165,2024-08-24,Monsoon,4,218,3165.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
31,Margaret Hall,cunninghamkim@gmail.com,534-494-2841,T-Shirt,4,3940,15760,2023-03-19,Spring,2,742,3940.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
32,Justin Macias,usmith@watson.info,001-933-991-5195x98877,Jeans,5,4921,24605,2023-03-03,Spring,2,758,4921.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
33,Vincent Solis,laurie13@yahoo.com,404-960-5948x003,Boots,1,2334,2334,2024-01-22,Winter,1,433,2334.0,2,Lost Customers,Re-engagement Emails & Offers
34,Tina Carter,trevorbarron@scott.org,+1-042-112-2952x36902,Sneakers,5,2516,12580,2024-05-22,Spring,2,312,2516.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
35,Olivia Parrish,ystein@park-lawrence.org,3918735551,Raincoat,4,600,2400,2023-09-16,Monsoon,4,561,600.0,2,Lost Customers,Re-engagement Emails & Offers
36,Brittney Cox,egraham@young.com,033-538-0871,Raincoat,3,1475,4425,2024-07-28,Monsoon,4,245,1475.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
37,Shaun Caldwell,tonya01@hotmail.com,472.414.7342x361,Loafers,4,4491,17964,2024-11-07,Autumn,3,143,4491.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
38,Edward Brown,michaelmartin@gonzalez.net,(266)152-5177,Scarf,2,2279,4558,2024-02-12,Winter,1,412,2279.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
39,Lisa Sweeney,austin64@williams-ruiz.info,429-823-9138x4665,Scarf,1,2108,2108,2023-12-08,Winter,1,478,2108.0,2,Lost Customers,Re-engagement Emails & Offers
40,Joseph Rodriguez,andreahill@hartman-bowman.info,971-826-3818x248,Loafers,1,1283,1283,2024-11-28,Autumn,3,122,1283.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
41,Sabrina Martinez,kimberly57@gmail.com,001-423-738-1275,Sneakers,4,4184,16736,2024-05-01,Spring,2,333,4184.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
42,Gerald Phillips,wford@stevens.com,(601)179-8040x7448,Tank Top,1,1119,1119,2024-08-16,Summer,0,226,1119.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
43,Daniel Holmes,robert28@martinez-dominguez.com,4499399967,Shorts,3,568,1704,2024-06-16,Summer,0,287,568.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
44,Lynn Olsen,laceylane@jones.org,7060396094,Sweater,3,652,1956,2023-02-26,Winter,1,763,652.0,2,Lost Customers,Re-engagement Emails & Offers
45,Denise Rodriguez,rachel14@gmail.com,+1-001-363-6971x33850,Light Jacket,3,903,2709,2025-05-06,Spring,2,-37,903.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
46,Amanda Kim,victorlawson@carpenter-martinez.com,8038955386,Tank Top,2,1600,3200,2024-07-06,Summer,0,267,1600.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
47,Chris Roach,matthew72@turner.biz,(446)464-1272x2141,Full-Sleeve Shirt,4,594,2376,2024-09-25,Autumn,3,186,594.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
48,Holly Davenport,rachel68@johnson.com,+1-014-064-8895x73651,Tank Top,4,4917,19668,2023-07-17,Summer,0,622,4917.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
49,Tracy Gates,andersonbridget@johnson.com,108.799.4707x534,Boots,2,3135,6270,2024-02-25,Winter,1,399,3135.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
50,James Cannon,sarahbowers@yahoo.com,+1-127-237-5176x62063,Loafers,1,4296,4296,2024-10-09,Autumn,3,172,4296.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
51,Amanda Schwartz,lmcfarland@tanner.org,601-615-2648x54273,Sweater,2,2018,4036,2024-12-20,Winter,1,100,2018.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
52,Kelly Miller,yfarley@hotmail.com,258.187.0676,Cardigan,1,2671,2671,2024-10-12,Autumn,3,169,2671.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
53,Steven Webb,lsmith@smith.com,7159687879,Light Jacket,1,2667,2667,2023-05-14,Spring,2,686,2667.0,2,Lost Customers,Re-engagement Emails & Offers
54,Corey Mora,justin75@gmail.com,+1-913-742-9035,Waterproof Shoes,5,2172,10860,2023-09-26,Monsoon,4,551,2172.0,2,Lost Customers,Re-engagement Emails & Offers
55,Jade Hunter,hammondmelanie@hotmail.com,001-117-956-9082x003,Sunglasses,4,1820,7280,2024-07-28,Summer,0,245,1820.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
56,Nancy Carrillo,justin22@gmail.com,(738)228-1870x38783,Blazer,4,2063,8252,2023-09-28,Autumn,3,549,2063.0,2,Lost Customers,Re-engagement Emails & Offers
57,Kylie Chen,donna25@hotmail.com,001-278-490-7702,Umbrella,2,4427,8854,2024-06-13,Monsoon,4,290,4427.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
58,Sean Hill,conwayamber@brooks.net,381-474-2042x315,Sandals,2,2625,5250,2024-06-18,Summer,0,285,2625.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
59,Jessica Mills,oscott@gmail.com,077.975.2523x222,Boots,1,4321,4321,2023-12-20,Winter,1,466,4321.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
60,Patrick Dennis,michael86@hotmail.com,001-810-636-6622x162,Jacket,4,3606,14424,2024-01-10,Winter,1,445,3606.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
61,Jason Bailey,nsmith@hotmail.com,280-162-2862x6993,Sneakers,4,1208,4832,2023-05-03,Spring,2,697,1208.0,2,Lost Customers,Re-engagement Emails & Offers
62,Kelly Daniels,raymondkyle@gmail.com,406-879-2341x850,Sandals,3,1303,3909,2023-06-01,Summer,0,668,1303.0,2,Lost Customers,Re-engagement Emails & Offers
63,Vanessa Ferguson,eblack@hotmail.com,(763)902-2320,T-Shirt,3,4652,13956,2023-05-16,Spring,2,684,4652.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
64,Michael Bradley,tyu@kelley.com,597-462-2013x2382,Light Jacket,3,3250,9750,2024-03-15,Spring,2,380,3250.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
65,Terry Smith,xhoward@hotmail.com,(109)789-9424x419,Sunglasses,4,3245,12980,2024-06-22,Summer,0,281,3245.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
66,Ronald Smith,mvance@yahoo.com,140-246-5753x4529,Light Jacket,3,4836,14508,2024-05-20,Spring,2,314,4836.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
67,Rodney Vargas,dsmith@hotmail.com,(980)525-9644,Sunglasses,2,933,1866,2024-06-13,Summer,0,290,933.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
68,Gary Carter,daycheryl@valenzuela.com,617.295.1814,Sunglasses,3,795,2385,2023-08-11,Summer,0,597,795.0,2,Lost Customers,Re-engagement Emails & Offers
69,Edwin May,christineallen@hotmail.com,316.213.7670,Jeans,4,2570,10280,2023-05-22,Spring,2,678,2570.0,2,Lost Customers,Re-engagement Emails & Offers
70,Mary Lopez,dustinjohnson@hotmail.com,161.119.4346,Waterproof Shoes,3,3373,10119,2024-06-12,Monsoon,4,291,3373.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
71,Monica Green,chenann@hotmail.com,946-318-3586,Full-Sleeve Shirt,4,2133,8532,2024-10-28,Autumn,3,153,2133.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
72,Jeffrey Fletcher,morristracie@yahoo.com,478-401-0018x05673,Blazer,3,514,1542,2023-09-22,Autumn,3,555,514.0,2,Lost Customers,Re-engagement Emails & Offers
73,Kim Logan,victoriacummings@goodwin.com,001-252-331-9809x9912,Sweater,1,2955,2955,2024-12-08,Winter,1,112,2955.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
